===============================================================================
Id,,len,datetime,open,high,low,close,volume,openinterest,MA_1_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,MACD_Strategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus,Bolling_2_0,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,,1,2020-09-01 00:00:00,13125.0,13150.0,13040.0,13135.0,185617.0,,MA_1_0,1,737669.0,Broker,1,150000.0,150000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,MACD_Strategy,0,,Broker,0,,,BuySell,0,,,Trades - Net Profit/Loss,0,,,Bolling_2_0,0,,Broker,0,,,BuySell,0,,,Trades - Net Profit/Loss,0,,
2,,1,2020-09-01 00:00:00,13125.0,13150.0,13040.0,13135.0,185617.0,,MA_1_0,1,737669.0,Broker,1,150000.0,150000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,MACD_Strategy,1,737669.0,Broker,1,150000.0,150000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,Bolling_2_0,0,,Broker,0,,,BuySell,0,,,Trades - Net Profit/Loss,0,,
3,,1,2020-09-01 00:00:00,13125.0,13150.0,13040.0,13135.0,185617.0,,MA_1_0,1,737669.0,Broker,1,150000.0,150000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,MACD_Strategy,1,737669.0,Broker,1,150000.0,150000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,Bolling_2_0,1,737669.0,Broker,1,150000.0,150000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
4,,2,2020-09-02 00:00:00,13140.0,13180.0,13085.0,13125.0,217297.0,,MA_1_0,2,737670.0,Broker,2,150000.0,150000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,MACD_Strategy,1,737669.0,Broker,1,150000.0,150000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,,Bolling_2_0,1,737669.0,Broker,1,150000.0,150000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
5,,2,2020-09-02 00:00:00,13140.0,13180.0,13085.0,13125.0,217297.0,,MA_1_0,2,737670.0,Broker,2,150000.0,150000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,MACD_Strategy,2,737670.0,Broker,2,150000.0,150000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,Bolling_2_0,1,737669.0,Broker,1,150000.0,150000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
6,,2,2020-09-02 00:00:00,13140.0,13180.0,13085.0,13125.0,217297.0,,MA_1_0,2,737670.0,Broker,2,150000.0,150000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,MACD_Strategy,2,737670.0,Broker,2,150000.0,150000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,Bolling_2_0,2,737670.0,Broker,2,150000.0,150000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
7,,3,2020-09-03 00:00:00,13085.0,13105.0,12985.0,13025.0,258525.0,,MA_1_0,3,737671.0,Broker,3,150000.0,150000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,MACD_Strategy,2,737670.0,Broker,2,150000.0,150000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,,Bolling_2_0,2,737670.0,Broker,2,150000.0,150000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
8,,3,2020-09-03 00:00:00,13085.0,13105.0,12985.0,13025.0,258525.0,,MA_1_0,3,737671.0,Broker,3,150000.0,150000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,MACD_Strategy,3,737671.0,Broker,3,150000.0,150000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,Bolling_2_0,2,737670.0,Broker,2,150000.0,150000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
9,,3,2020-09-03 00:00:00,13085.0,13105.0,12985.0,13025.0,258525.0,,MA_1_0,3,737671.0,Broker,3,150000.0,150000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,MACD_Strategy,3,737671.0,Broker,3,150000.0,150000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,Bolling_2_0,3,737671.0,Broker,3,150000.0,150000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
10,,4,2020-09-04 00:00:00,12995.0,13040.0,12820.0,12870.0,302225.0,,MA_1_0,4,737672.0,Broker,4,150000.0,150000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,MACD_Strategy,3,737671.0,Broker,3,150000.0,150000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,,Bolling_2_0,3,737671.0,Broker,3,150000.0,150000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
11,,4,2020-09-04 00:00:00,12995.0,13040.0,12820.0,12870.0,302225.0,,MA_1_0,4,737672.0,Broker,4,150000.0,150000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,MACD_Strategy,4,737672.0,Broker,4,150000.0,150000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,Bolling_2_0,3,737671.0,Broker,3,150000.0,150000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
12,,4,2020-09-04 00:00:00,12995.0,13040.0,12820.0,12870.0,302225.0,,MA_1_0,4,737672.0,Broker,4,150000.0,150000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,MACD_Strategy,4,737672.0,Broker,4,150000.0,150000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,Bolling_2_0,4,737672.0,Broker,4,150000.0,150000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
13,,5,2020-09-07 00:00:00,12890.0,12965.0,12875.0,12925.0,175978.0,,MA_1_0,5,737675.0,Broker,5,150000.0,150000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,MACD_Strategy,4,737672.0,Broker,4,150000.0,150000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,,Bolling_2_0,4,737672.0,Broker,4,150000.0,150000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
14,,5,2020-09-07 00:00:00,12890.0,12965.0,12875.0,12925.0,175978.0,,MA_1_0,5,737675.0,Broker,5,150000.0,150000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,MACD_Strategy,5,737675.0,Broker,5,150000.0,150000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,Bolling_2_0,4,737672.0,Broker,4,150000.0,150000.0,BuySell,4,,,Trades - Net Profit/Loss,4,,
15,,5,2020-09-07 00:00:00,12890.0,12965.0,12875.0,12925.0,175978.0,,MA_1_0,5,737675.0,Broker,5,150000.0,150000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,MACD_Strategy,5,737675.0,Broker,5,150000.0,150000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,Bolling_2_0,5,737675.0,Broker,5,150000.0,150000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
16,,6,2020-09-08 00:00:00,12940.0,12990.0,12910.0,12960.0,166921.0,,MA_1_0,6,737676.0,Broker,6,150000.0,150000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,MACD_Strategy,5,737675.0,Broker,5,150000.0,150000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,,Bolling_2_0,5,737675.0,Broker,5,150000.0,150000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
17,,6,2020-09-08 00:00:00,12940.0,12990.0,12910.0,12960.0,166921.0,,MA_1_0,6,737676.0,Broker,6,150000.0,150000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,MACD_Strategy,6,737676.0,Broker,6,150000.0,150000.0,BuySell,6,,,Trades - Net Profit/Loss,6,,,Bolling_2_0,5,737675.0,Broker,5,150000.0,150000.0,BuySell,5,,,Trades - Net Profit/Loss,5,,
