,代码,名称,日期,开盘价(元),最高价(元),最低价(元),收盘价(元),结算价,成交额(百万),成交量,持仓量,MA,std,UP,DN,买,平,cost,position,profit,returns
0,CF105.CZC,郑棉2105,2004-06-01,15400.0,15400.0,15400.0,15400.0,15400.0,0.0,0.0,0.0,15400.0,0.0,15400.0,15400.0,0,0,0.0,0,,
1,CF105.CZC,郑棉2105,2004-06-02,15400.0,15400.0,15400.0,15400.0,15400.0,0.0,0.0,0.0,15400.0,0.0,15400.0,15400.0,0,0,0.0,0,,0.0
2,CF105.CZC,郑棉2105,2004-06-03,14380.0,14380.0,14380.0,14380.0,14380.0,0.14,2.0,2.0,15060.0,480.83261120685233,16021.665222413705,14098.334777586295,0,0,0.0,0,,-0.06852915712668281
3,CF105.CZC,郑棉2105,2004-06-04,14950.0,14950.0,13845.0,13845.0,14400.0,0.29,4.0,2.0,14756.25,670.9636260632911,16098.177252126583,13414.322747873417,0,0,0.0,0,,-0.037914195669975496
4,CF105.CZC,郑棉2105,2004-06-07,13900.0,13900.0,13900.0,13900.0,13900.0,0.14,2.0,4.0,14585.0,690.9848044638898,15966.969608927779,13203.030391072221,0,0,0.0,0,,0.003964683513720891
5,CF105.CZC,郑棉2105,2004-06-08,14460.0,14460.0,13360.0,13360.0,13910.0,0.83,12.0,4.0,14380.833333333334,778.6549121544293,15938.143157642193,12823.523509024475,0,0,0.0,0,,-0.03962367202814643
6,CF105.CZC,郑棉2105,2004-06-09,13910.0,13910.0,13910.0,13910.0,13910.0,0.0,0.0,4.0,14313.57142857143,739.4820305250073,15792.535489621445,12834.607367521414,0,0,0.0,0,,0.04034283782685188
7,CF105.CZC,郑棉2105,2004-06-10,13910.0,13910.0,13910.0,13910.0,13910.0,0.0,0.0,4.0,14263.125,704.4809148408494,15672.086829681699,12854.163170318301,0,0,0.0,0,,0.0
8,CF105.CZC,郑棉2105,2004-06-11,13910.0,13910.0,13910.0,13910.0,13910.0,0.0,0.0,4.0,14223.888888888889,673.3984200299,15570.685728948689,12877.092048829089,0,0,0.0,0,,0.0
9,CF105.CZC,郑棉2105,2004-06-14,14200.0,14200.0,14200.0,14200.0,14200.0,0.14,2.0,6.0,14221.5,638.8820313641636,15499.264062728327,12943.735937271673,0,0,0.0,0,,0.020633958671863448
10,CF105.CZC,郑棉2105,2004-06-15,14200.0,14200.0,14200.0,14200.0,14200.0,0.0,0.0,6.0,14219.545454545454,609.1814722360674,15437.90839901759,13001.182510073319,0,0,0.0,0,,0.0
11,CF105.CZC,郑棉2105,2004-06-16,14200.0,14200.0,14200.0,14200.0,14200.0,0.0,0.0,6.0,14217.916666666666,583.2718717621217,15384.46041019091,13051.372923142422,0,0,0.0,0,,0.0
12,CF105.CZC,郑棉2105,2004-06-17,14200.0,14200.0,14200.0,14200.0,14200.0,0.0,0.0,6.0,14216.538461538461,560.4098246797902,15337.358110898042,13095.71881217888,0,0,0.0,0,,0.0
13,CF105.CZC,郑棉2105,2004-06-18,14200.0,14200.0,14200.0,14200.0,14200.0,0.0,0.0,6.0,14215.357142857143,540.0412163030916,15295.439575463326,13135.27471025096,0,0,0.0,0,,0.0
14,CF105.CZC,郑棉2105,2004-06-21,14200.0,14200.0,14200.0,14200.0,14200.0,0.0,0.0,6.0,14214.333333333334,521.7434448291825,15257.820222991699,13170.84644367497,0,0,0.0,0,,0.0
15,CF105.CZC,郑棉2105,2004-06-22,14200.0,14200.0,14200.0,14200.0,14200.0,0.0,0.0,6.0,14213.4375,505.18783248782825,15223.813164975656,13203.061835024344,0,0,0.0,0,,0.0
16,CF105.CZC,郑棉2105,2004-06-23,14200.0,14200.0,14200.0,14200.0,14200.0,0.0,0.0,6.0,14212.64705882353,490.114385349628,15192.875829522785,13232.418288124274,0,0,0.0,0,,0.0
17,CF105.CZC,郑棉2105,2004-06-24,14200.0,14200.0,14200.0,14200.0,14200.0,0.0,0.0,6.0,14211.944444444445,476.3143770688317,15164.57319858211,13259.315690306781,0,0,0.0,0,,0.0
18,CF105.CZC,郑棉2105,2004-06-25,14200.0,14200.0,14200.0,14200.0,14200.0,0.0,0.0,6.0,14211.315789473685,463.61804295205394,15138.551875377792,13284.079703569578,0,0,0.0,0,,0.0
19,CF105.CZC,郑棉2105,2004-06-28,13630.0,13630.0,13630.0,13630.0,13630.0,0.14,2.0,8.0,14182.25,469.303939361263,15120.857878722527,13243.642121277473,0,0,0.0,0,,-0.040968718898773744
20,CF105.CZC,郑棉2105,2004-06-29,13150.0,14160.0,13150.0,14160.0,13655.0,1.64,24.0,8.0,14120.25,377.2017861834698,14874.65357236694,13365.84642763306,1,0,13365.84642763306,1,14.134523307667301,0.0381478425571325
21,CF105.CZC,郑棉2105,2004-06-30,13655.0,13655.0,13655.0,13655.0,13655.0,0.0,0.0,8.0,14033.0,252.197343364279,14537.394686728558,13528.605313271442,0,0,13365.84642763306,1,13.594768062584533,-0.036315333339905366
22,CF105.CZC,郑棉2105,2004-07-01,13300.0,13300.0,13280.0,13280.0,13285.0,0.4,6.0,10.0,13978.0,287.9383614595319,14553.876722919063,13402.123277080937,1,0,26767.969704713996,2,13.174723582481931,-0.02784661087738053
23,CF105.CZC,郑棉2105,2004-07-02,13100.0,13500.0,13100.0,13500.0,13300.0,0.27,4.0,12.0,13960.75,305.2059755312796,14571.161951062559,13350.338048937441,1,0,40118.30775365144,3,13.421630945257625,0.016430541396095955
24,CF105.CZC,郑棉2105,2004-07-05,13300.0,13300.0,13300.0,13300.0,13300.0,0.0,0.0,12.0,13930.75,337.4843514890728,14605.718702978145,13255.781297021855,0,0,40118.30775365144,3,13.20797715347603,-0.014925650216675706
25,CF105.CZC,郑棉2105,2004-07-06,13750.0,13750.0,12780.0,12780.0,13270.0,0.8,12.0,16.0,13901.75,403.70557031083933,14709.161140621678,13094.338859378322,1,0,53212.64661302976,4,12.723912655509507,-0.03988258627831938
26,CF105.CZC,郑棉2105,2004-07-07,13270.0,13270.0,13270.0,13270.0,13270.0,0.0,0.0,16.0,13869.75,426.50461603598154,14722.759232071963,13016.740767928037,0,0,53212.64661302976,4,13.250103359828728,0.03762439939472739
27,CF105.CZC,郑棉2105,2004-07-08,12750.0,13760.0,12750.0,13000.0,13190.0,1.06,16.0,12.0,13824.25,466.45277092112985,14757.15554184226,12891.34445815774,1,0,66103.9910711875,5,13.047131096387938,-0.020556490882579354
28,CF105.CZC,郑棉2105,2004-07-09,13720.0,13720.0,13630.0,13630.0,13225.0,4.76,72.0,16.0,13810.25,467.8687716657311,14745.987543331463,12874.512456668537,0,0,66103.9910711875,5,13.727876680289814,0.0473238882469046
29,CF105.CZC,郑棉2105,2004-07-12,12930.0,12930.0,12930.0,12930.0,12930.0,0.26,4.0,16.0,13746.75,495.99968497973873,14738.749369959478,12754.750630040522,0,0,66103.9910711875,5,12.971492698176618,-0.05272305292467515
30,CF105.CZC,郑棉2105,2004-07-13,13295.0,13295.0,12955.0,12955.0,13070.0,0.39,6.0,16.0,13684.5,513.0421522643145,14710.58430452863,12658.41569547137,0,0,66103.9910711875,5,12.998506411823518,0.0019316212303071116
31,CF105.CZC,郑棉2105,2004-07-14,13070.0,13070.0,13070.0,13070.0,13070.0,0.0,0.0,16.0,13628.0,515.3770464426991,14658.754092885398,12597.245907114602,0,0,66103.9910711875,5,13.122769494599257,0.008837713622057338
32,CF105.CZC,郑棉2105,2004-07-15,13200.0,13200.0,13200.0,13200.0,13200.0,0.26,4.0,16.0,13578.0,505.87893808696964,14589.757876173939,12566.242123826061,0,0,66103.9910711875,5,13.263240805563136,0.00989730195619464
33,CF105.CZC,郑棉2105,2004-07-16,13100.0,13100.0,13100.0,13100.0,13100.0,0.26,4.0,16.0,13523.0,494.9429260025847,14512.885852005169,12533.114147994831,0,0,66103.9910711875,5,13.155185950975538,-0.007604599385219304
34,CF105.CZC,郑棉2105,2004-07-19,12580.0,13200.0,12580.0,13200.0,12890.0,0.52,8.0,16.0,13473.0,474.09756379884516,14421.19512759769,12524.80487240231,0,0,66103.9910711875,5,13.263240805563136,0.0076045993852192125
35,CF105.CZC,郑棉2105,2004-07-20,12890.0,12890.0,12890.0,12890.0,12890.0,0.0,0.0,16.0,13407.5,459.3977035205989,14326.295407041198,12488.704592958802,0,0,66103.9910711875,5,12.928270756341579,-0.023765012641229107
36,CF105.CZC,郑棉2105,2004-07-21,12890.0,12890.0,12890.0,12890.0,12890.0,0.0,0.0,16.0,13342.0,434.44619920077565,14210.892398401551,12473.107601598449,0,0,66103.9910711875,5,12.928270756341579,0.0
37,CF105.CZC,郑棉2105,2004-07-22,12505.0,12505.0,12505.0,12505.0,12505.0,0.75,12.0,28.0,13257.25,424.0061172907769,14105.262234581554,12409.237765418446,0,0,66103.9910711875,5,12.51225956617932,-0.030323252621513655
38,CF105.CZC,郑棉2105,2004-07-23,12505.0,12505.0,12505.0,12505.0,12505.0,0.0,0.0,28.0,13172.5,395.54234918653157,13963.584698373063,12381.415301626937,0,0,66103.9910711875,5,12.51225956617932,0.0
39,CF105.CZC,郑棉2105,2004-07-26,13010.0,13010.0,12910.0,12910.0,12965.0,1.82,28.0,16.0,13136.5,384.8866716320533,13906.273343264107,12366.726656735893,0,0,66103.9910711875,5,12.949881727259099,0.03187364052896878
