,ReportDate,Price,MID,UP,LOW,买,平,买累计,平累计,,仓位
1,2004/6/1,14670,,,,,,,,,
2,2004/6/2,14225,,,,,,,,,
3,2004/6/3,13630,,,,,,,,,
4,2004/6/4,13765,,,,,,,,,
5,2004/6/7,13870,,,,,,,,,
6,2004/6/8,13675,,,,,,,,,
7,2004/6/9,13650,,,,,,,,,
8,2004/6/10,13690,,,,,,,,,
9,2004/6/11,13675,,,,,,,,,
10,2004/6/14,13660,,,,,,,,,
11,2004/6/15,13265,,,,,,,,,
12,2004/6/16,13100,,,,,,,,,
13,2004/6/17,13185,,,,,,,,,
14,2004/6/18,13100,,,,,,,,,
15,2004/6/21,12960,,,,,,,,,
16,2004/6/22,12680,,,,,,,,,
17,2004/6/23,12880,,,,,,,,,
18,2004/6/24,13200,,,,,,,,,
19,2004/6/25,13165,,,,,,,,,
20,2004/6/28,13030,,,,,,,,,
21,2004/6/29,13335,,,,,,,,,
22,2004/6/30,13345,,,,,,,,,
23,2004/7/1,13340,,,,,,,,,
24,2004/7/2,13270,,,,,,,,,
25,2004/7/5,12785,,,,,,,,,
26,2004/7/6,12830,13383.85,14300.28,12467.42,0,0,,,,
27,2004/7/7,12830,13313.08,14089.88,12536.28,0,0,,,,
28,2004/7/8,12805,13258.46,13965.04,12551.88,0,0,,,,
29,2004/7/9,12965,13232.88,13931.62,12534.14,0,0,,,,
30,2004/7/12,13440,13220.38,13890.56,12550.2,0,0,,,,
31,2004/7/13,13200,13194.62,13810.19,12579.05,0,0,,,,
32,2004/7/14,13125,13173.46,13757.34,12589.58,0,-1,,,,
33,2004/7/15,13285,13159.42,13712.37,12606.47,0,0,,,,
34,2004/7/16,13210,13140.96,13650.57,12631.35,0,0,,,,
35,2004/7/19,13355,13128.65,13598.51,12658.79,0,0,,,,
36,2004/7/20,13395,13118.46,13550.34,12686.58,0,0,,,,
37,2004/7/21,13380,13122.88,13563.27,12682.49,0,0,,,,
38,2004/7/22,13385,13133.85,13585.91,12681.79,0,0,,,,
39,2004/7/23,13195,13134.23,13586.48,12681.98,0,0,,,,
40,2004/7/26,13085,13133.65,13586.12,12681.18,0,-1,,,,
41,2004/7/27,13025,13136.15,13585.34,12686.96,0,0,,,,
42,2004/7/28,13035,13149.81,13561.32,12738.3,0,0,,,,
43,2004/7/29,13190,13161.73,13558.42,12765.04,0,0,,,,
44,2004/7/30,13105,13158.08,13555.05,12761.11,0,-1,,,,
45,2004/8/2,13035,13153.08,13552.95,12753.21,0,0,,,,
46,2004/8/3,12845,13145.96,13561.23,12730.69,0,0,,,,
47,2004/8/4,12800,13125.38,13554.47,12696.29,0,0,,,,
48,2004/8/5,12920,13109.04,13535.7,12682.38,0,0,,,,
49,2004/8/6,12855,13090.38,13517.44,12663.32,0,0,,,,
50,2004/8/9,12700,13068.46,13515.23,12621.69,0,0,,,,
51,2004/8/10,12600,13061.35,13532.15,12590.55,0,0,,,,
52,2004/8/11,12615,13053.08,13547.73,12558.43,0,0,,,,
53,2004/8/12,12420,13037.31,13584.86,12489.76,0,0,,,,
54,2004/8/13,12415,13022.31,13615.78,12428.84,0,0,,,,
55,2004/8/16,12455,13002.69,13636.39,12368.99,0,0,,,,
56,2004/8/17,12465,12965.19,13606.58,12323.8,0,0,,,,
57,2004/8/18,12565,12940.77,13593.23,12288.31,0,0,,,,
58,2004/8/19,12530,12917.88,13585.03,12250.73,0,0,,,,
59,2004/8/20,12545,12889.42,13554.55,12224.29,0,0,,,,
60,2004/8/23,12625,12866.92,13526.5,12207.34,0,0,,,,
61,2004/8/24,12610,12838.27,13473.94,12202.6,0,0,,,,
62,2004/8/25,12525,12804.81,13409.4,12200.22,0,0,,,,
63,2004/8/26,12420,12767.88,13342.87,12192.89,0,0,,,,
64,2004/8/27,12380,12729.23,13265.45,12193.01,0,0,,,,
65,2004/8/30,12415,12699.23,13213.89,12184.57,0,0,,,,
66,2004/8/31,12580,12679.81,13171.51,12188.11,0,0,,,,
67,2004/9/1,12650,12665.38,13136.53,12194.23,0,0,,,,
68,2004/9/2,12710,12652.88,13099.86,12205.9,0,0,,,,
69,2004/9/3,12800,12637.88,13033.05,12242.71,0,0,,,,
70,2004/9/6,12705,12622.5,12970.33,12274.67,0,0,,,,
71,2004/9/7,12665,12608.27,12913.57,12302.97,0,0,,,,
72,2004/9/8,12885,12609.81,12920.43,12299.19,0,0,,,,
73,2004/9/9,12850,12611.73,12927.82,12295.64,0,0,,,,
74,2004/9/10,12895,12610.77,12923.09,12298.45,0,0,,,,
75,2004/9/13,12910,12612.88,12932.73,12293.03,0,0,,,,
76,2004/9/14,12980,12623.65,12973.18,12274.12,1,0,,,,
77,2004/9/15,12840,12632.88,12992.35,12273.41,0,0,,,,
78,2004/9/16,12885,12643.27,13015.95,12270.59,0,0,,,,
79,2004/9/17,12765,12656.54,13020.61,12292.47,0,0,,,,
80,2004/9/20,13015,12679.62,13055.86,12303.38,0,0,,,,
81,2004/9/21,13055,12702.69,13094.89,12310.49,0,0,,,,
82,2004/9/22,13315,12735.38,13182.95,12287.81,1,0,,,,
83,2004/9/23,13265,12762.31,13249.69,12274.93,0,0,,,,
84,2004/9/24,13395,12795.58,13332.56,12258.6,1,0,,,,
85,2004/9/27,13365,12827.12,13398.12,12256.12,0,0,,,,
86,2004/9/28,13330,12854.23,13451.65,12256.81,0,0,,,,
87,2004/9/29,13215,12877.5,13482.43,12272.57,0,0,,,,
88,2004/9/30,13265,12905.96,13511.53,12300.39,0,0,,,,
89,2004/10/8,13055,12930.38,13504.84,12355.92,0,0,,,,
90,2004/10/11,12740,12944.23,13479.52,12408.94,0,-1,,,,
91,2004/10/12,12665,12953.85,13457.65,12450.05,0,0,,,,
92,2004/10/13,12715,12959.04,13449.41,12468.67,0,0,,,,
93,2004/10/14,12680,12960.19,13447.67,12472.71,0,0,,,,
94,2004/10/15,12520,12952.88,13461.21,12444.55,0,0,,,,
95,2004/10/18,12270,12932.5,13504.82,12360.18,0,0,,,,
96,2004/10/19,12350,12918.85,13529.41,12308.29,0,0,,,,
97,2004/10/20,12400,12908.65,13545.13,12272.17,0,0,,,,
98,2004/10/21,12315,12886.73,13564.53,12208.93,0,0,,,,
99,2004/10/22,11955,12852.31,13622.48,12082.14,0,0,,,,
100,2004/10/25,11930,12815.19,13665.63,11964.75,0,0,,,,
101,2004/10/26,12080,12783.27,13679.96,11886.58,0,0,,,,
102,2004/10/27,12355,12759.23,13667.41,11851.05,0,0,,,,
103,2004/10/28,12360,12740.77,13661.55,11819.99,0,0,,,,
104,2004/10/29,12340,12719.81,13651.68,11787.94,0,0,,,,
105,2004/11/1,12355,12704.04,13646.54,11761.54,0,0,,,,
106,2004/11/2,12325,12677.5,13622.43,11732.57,0,0,,,,
107,2004/11/3,12390,12651.92,13590.32,11713.52,0,0,,,,
108,2004/11/4,12305,12613.08,13520.4,11705.76,0,0,,,,
109,2004/11/5,12325,12576.92,13450.46,11703.38,0,0,,,,
110,2004/11/8,12390,12538.27,13347.82,11728.72,0,0,,,,
111,2004/11/9,12345,12499.04,13237.68,11760.4,0,0,,,,
112,2004/11/10,12185,12455,13120.44,11789.56,0,0,,,,
113,2004/11/11,12185,12415.38,13011.65,11819.11,0,0,,,,
114,2004/11/12,12185,12373.85,12865.13,11882.57,0,0,,,,
115,2004/11/15,12285,12344.23,12750.1,11938.36,0,0,,,,
116,2004/11/16,12200,12323.46,12699.23,11947.69,0,0,,,,
117,2004/11/17,12260,12307.88,12657.42,11958.34,0,0,,,,
118,2004/11/18,12330,12293.08,12601.02,11985.14,0,0,,,,
119,2004/11/19,12315,12279.04,12543.86,12014.22,0,0,,,,
120,2004/11/22,12250,12268.65,12514.67,12022.63,0,-1,,,,
