5,Vietnam,Y,2019-05-05,April 2019,1617,Total,0.78,0.00,5.50,5.40,0.00,0.00,0.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6,Bangladesh,Y,2019-05-05,April 2019,1617,Total,1.52,0.13,6.80,6.80,0.00,0.01,1.63,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7,Thailand,Y,2019-05-05,April 2019,1617,Total,0.20,0.00,1.23,1.20,0.00,0.03,0.20,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8,Indonesia,Y,2019-05-05,April 2019,1617,Total,0.53,0.01,3.39,3.30,0.01,0.00,0.62,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9,Pakistan,Y,2019-05-05,April 2019,1617,Total,2.62,7.70,2.45,10.30,0.13,0.03,2.32,NULL,NULL,NULL,NULL,NULL,NULL,NULL
10,Turkey,Y,2019-05-05,April 2019,1617,Total,1.53,3.20,3.68,6.55,0.33,0.00,1.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
11,European Union,Y,2019-05-05,April 2019,1617,Total,0.27,1.31,0.69,0.72,1.33,0.05,0.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
12,China,Y,2019-05-05,April 2019,1617,Total,56.70,22.75,5.03,38.50,0.06,0.00,45.92,NULL,NULL,NULL,NULL,NULL,NULL,NULL
13,Mexico,Y,2019-05-05,April 2019,1617,Total,0.61,0.77,1.00,1.75,0.15,0.03,0.45,NULL,NULL,NULL,NULL,NULL,NULL,NULL
14,Major Importers,Y,2019-05-05,April 2019,1617,Total,65.27,35.86,31.92,76.72,2.03,0.14,54.17,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,India,Y,2019-05-05,April 2019,1617,Total,7.04,27.00,2.74,24.35,4.55,0.00,7.88,NULL,NULL,NULL,NULL,NULL,NULL,NULL
16,Brazil,Y,2019-05-05,April 2019,1617,Total,5.71,7.02,0.19,3.20,2.79,0.00,6.93,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,Australia,Y,2019-05-05,April 2019,1617,Total,1.88,4.05,0.00,0.04,3.73,-0.03,2.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
18,S. Hemis,Y,2019-05-05,April 2019,1617,Total,8.76,12.25,0.37,4.29,7.05,-0.02,10.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL
19,Afr. Fr. Zone,Y,2019-05-05,April 2019,1617,Total,1.16,5.12,0.00,0.14,4.60,0.01,1.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,Central Asia,Y,2019-05-05,April 2019,1617,Total,2.35,5.99,0.00,2.83,3.32,0.00,2.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL
21,Major Exporters,Y,2019-05-05,April 2019,1617,Total,19.55,50.72,3.63,32.27,19.78,0.01,21.85,NULL,NULL,NULL,NULL,NULL,NULL,NULL
22,Total Foreign,Y,2019-05-05,April 2019,1617,Total,86.54,89.49,37.69,112.93,22.99,0.15,77.65,NULL,NULL,NULL,NULL,NULL,NULL,NULL
23,United States,Y,2019-05-05,April 2019,1617,Total,3.80,17.17,0.01,3.25,14.92,0.06,2.75,NULL,NULL,NULL,NULL,NULL,NULL,NULL
24,World,Y,2019-05-05,April 2019,1617,Total,90.34,106.66,37.70,116.18,37.91,0.21,80.40,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,Vietnam,Y,2019-05-05,April 2019,1718,Total,0.88,0.00,7.00,6.70,0.00,0.00,1.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL
26,Bangladesh,Y,2019-05-05,April 2019,1718,Total,1.63,0.14,7.60,7.50,0.00,0.01,1.86,NULL,NULL,NULL,NULL,NULL,NULL,NULL
